item,paper,condition,subcondition,aging,measure,timing,index
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,1
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,2
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,3
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,1
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,2
1CHR 05,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,3
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,1
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,2
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,3
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,1
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,2
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,3
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,1
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,2
1CHR 06,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,3
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,1
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,2
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,3
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,1
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,2
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,3
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,1
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,2
1CHR 07,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,3
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,1
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,2
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,3
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,1
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,2
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,3
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,1
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,2
1CHR 08,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,3
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,1
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,2
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,3
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,1
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,2
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,3
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,1
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,2
1CHR 09,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,3
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,1
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,2
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,BT,3
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,1
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,2
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AT,3
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,1
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,2
1CHR 10,Whatman Chromatography Paper 1CHR,Control,Control,Aged,ph,AA,3
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,1
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,2
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,3
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,1
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,2
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,3
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,1
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,2
1CHR 11,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,3
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,1
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,2
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,3
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,1
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,2
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,3
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,1
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,2
1CHR 12,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,3
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,1
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,2
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,3
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,1
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,2
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,3
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,1
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,2
1CHR 13,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,3
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,1
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,2
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,3
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,1
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,2
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,3
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,1
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,2
1CHR 14,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,3
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,1
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,2
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,BT,3
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,1
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,2
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AT,3
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,1
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,2
1CHR 15,Whatman Chromatography Paper 1CHR,Control,Water,Aged,ph,AA,3
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,1
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,2
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,3
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,1
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,2
1CHR 16,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,3
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,1
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,2
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,3
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,1
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,2
1CHR 17,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,3
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,1
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,2
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,3
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,1
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,2
1CHR 18,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,3
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,1
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,2
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,3
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,1
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,2
1CHR 19,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,3
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,1
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,2
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,BT,3
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,1
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,2
1CHR 20,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Not Aged,ph,AT,3
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,1
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,2
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,3
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,1
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,2
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,3
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,1
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,2
1CHR 21,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,3
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,1
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,2
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,3
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,1
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,2
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,3
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,1
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,2
1CHR 22,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,3
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,1
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,2
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,3
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,1
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,2
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,3
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,1
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,2
1CHR 23,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,3
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,1
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,2
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,3
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,1
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,2
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,3
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,1
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,2
1CHR 24,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,3
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,1
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,2
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,BT,3
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,1
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,2
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AT,3
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,1
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,2
1CHR 25,Whatman Chromatography Paper 1CHR,2% Tica Gel,No Interleaving,Aged,ph,AA,3
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,1
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,2
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,3
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,1
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,2
1CHR 26,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,3
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,1
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,2
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,3
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,1
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,2
1CHR 27,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,3
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,1
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,2
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,3
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,1
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,2
1CHR 28,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,3
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,1
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,2
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,3
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,1
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,2
1CHR 29,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,3
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,1
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,2
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,BT,3
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,1
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,2
1CHR 30,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Not Aged,ph,AT,3
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,1
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,2
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,3
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,1
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,2
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,3
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,1
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,2
1CHR 31,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,3
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,1
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,2
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,3
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,1
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,2
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,3
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,1
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,2
1CHR 32,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,3
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,1
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,2
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,3
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,1
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,2
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,3
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,1
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,2
1CHR 33,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,3
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,1
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,2
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,3
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,1
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,2
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,3
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,1
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,2
1CHR 34,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,3
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,1
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,2
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,BT,3
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,1
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,2
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AT,3
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,1
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,2
1CHR 35,Whatman Chromatography Paper 1CHR,2% Tica Gel,Interleaving,Aged,ph,AA,3
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,1
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,2
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,3
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,1
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,2
1CHR 36,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,3
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,1
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,2
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,3
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,1
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,2
1CHR 37,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,AT,3
1CHR 38,Whatman Chromatography Paper 1CHR,2% CP Kelco,No Interleaving,Not Aged,ph,BT,1
